Section;Chapitre;Rangee_HS4;Code_SH_10_chiffres;Designation;Designation_complete;Droit_de_Douane_DD_pct;TVA_pct;TCS_pct;PRCT_pct;DAPS_pct;Avantages_fiscaux;Formalites_particulieres;Source
01;01;01.01;0101211100;Chevaux > Reproducteurs de race pure > De course > De pur sang arabe;Animaux vivants > Chevaux, anes, mulets et bardots, vivants. > Chevaux > Reproducteurs de race pure > De course > De pur sang arabe;5.0;9.0;3.0;2.0;;Exoneration d.d et d.a.p dans cadre convention algero-jordanienne | Certificat d'origine dans le cadre -zale- exo d.d;Derogation sanitaire veterinaire (m. agriculture) | Visa de controle sanitaire veterinaire (m. agriculture);conformepro.dz
01;01;01.05;0105111000;Poussins dits d'un jour 'chair' (moins de 185g);Animaux vivants > Coqs, poules, canards, oies, dindons, dindes et pintades, vivants, des especes domestiques > Poussins dits d'un jour 'chair' (moins de 185g);5.0;19.0;3.0;2.0;;Exoneration d.d et d.a.p dans cadre convention algero-jordanienne | Certificat d'origine dans le cadre -zale- exo d.d;Derogation sanitaire veterinaire (m. agriculture) | Visa de controle sanitaire veterinaire (m. agriculture);conformepro.dz
01;04;04.01;0401101000;D'une teneur en poids de matieres grasses n'excedant pas 1% > En emballage immediats d'un contenu net n'excedant pas 2 L;Laits et produits de la laiterie, oeufs d'oiseaux, miel naturel, produits comestibles d'origine animale, non denommes ni compris ailleurs > Lait et creme de lait, non concentres ni additionnes de sucre ou d'autres edulcorants. > D'une teneur en poids de matieres grasses n'excedant pas 1% > En emballage immediats d'un contenu net n'excedant pas 2 L;30.0;;3.0;2.0;70.0;Certificat d'origine dans le cadre -zale- exo d.d;Visa de controle sanitaire veterinaire (m. agriculture) | Autorisation d admission du produit | Declaration d importation du produit;conformepro.dz
02;10;10.01;1001110000;Froment (Blé) dur de semence;Cereales. > Froment (ble) et meteil. > Froment (Blé) dur de semence;;;3.0;2.0;;Certificat d'origine dans le cadre -zale- exo d.d;Autorisation technique prealable d'importation des produits phytosanitaires a usage agricole | Autorisation d admission du produit | Autorisation de libre circulation | Certificat phytosanitaire du pays d'origine | Declaration d importation du produit;conformepro.dz
04;17;17.01;1701131000;Sucres et sucreries. > Sucres de canne ou de betterave et saccharose chimiquement pur, a l'etat solide. > Sucres bruts sans addition d'aromatisants ou de colorants > Sucre de canne mentionne dans la Note 2 de sous-positions du present Chapitre > Destines au raffinage;Sucres et sucreries. > Sucres de canne ou de betterave et saccharose chimiquement pur, a l'etat solide. > Sucres et sucreries. > Sucres de canne ou de betterave et saccharose chimiquement pur, a l'etat solide. > Sucres bruts sans addition d'aromatisants ou de colorants > Sucre de canne mentionne dans la Note 2 de sous-positions du present Chapitre > Destines au raffinage;5.0;19.0;3.0;2.0;;Certificat d'origine dans le cadre -zale- exo d.d | Programme previsionnel vise par le ministere de la sante | Programme previsionnel vise par le ministere de la sante;Declaration d importation du produit | Autorisation d admission du produit;conformepro.dz
05;27;27.10;2710121100;Essence d'aviation;Combustibles mineraux, huiles minerales et produits de leurs distillations, matieres bitumineuses, cires minerales. > Huiles de petrole ou de mineraux bitumineux, autres que les huiles brutes, preparations non denommees ni comprises ailleurs, contenant en poids 70% ou plus d'huiles de petrole ou de mineraux bitumineux et dont ces huiles constituent l'element de base, dechets d'huiles > Essence d'aviation;30.0;19.0;3.0;2.0;;Programme previsionnel vise par le ministere de la sante | Certificat d'origine dans le cadre -zale- exo d.d | Programme previsionnel vise par le ministere de la sante;;conformepro.dz
06;30;30.04;3004101000;Médicaments dosés pour usage vétérinaire, contenant pénicillines ou streptomycines.;Produits pharmaceutiques. > Medicaments (a l'exclusion des produits des n s 30.02, 30.05 ou 30.06) constitues par des produits melanges ou non melanges, prepares a des fins therapeutiques ou prophylactiques, presentes sous forme de doses (y compris ceux destines a etre administres par voie percutanee) ou conditionnes pour la vente au detail > Médicaments dosés pour usage vétérinaire, contenant pénicillines ou streptomycines.;5.0;9.0;3.0;2.0;;Certificat d'origine dans le cadre algero-tunisie exo. d.d | Exoneration d.d et d.a.p dans cadre convention algero-jordanienne | Certificat d'origine dans le cadre -zale- exo d.d | Programme previsionnel vise par le ministere de la sante | Programme previsionnel vise par le ministere de la sante;Visa de controle sanitaire veterinaire (m. agriculture) | Autorisation de mise sur le marche delivree par les services habilites du ministere de l'agriculture;conformepro.dz
07;39;39.23;3923301000;Bonbonnes, bouteilles, flacons et articles similaires > Ebauches de bouteilles;Matieres plastiques et ouvrages en ces matieres. > Articles d'emballage et dispositifs de fermeture en plastique > Bonbonnes, bouteilles, flacons et articles similaires > Ebauches de bouteilles;30.0;19.0;3.0;2.0;;Programme previsionnel vise par le ministere de la sante | Certificat d'origine dans le cadre -zale- exo d.d | Attest .exo. droits-taxes sauf r.f.d (sonatrach) | Attestation d'emploi (pour exo. du d.d) | Exoneration d.d et d.a.p dans cadre convention algero-jordanienne | Programme previsionnel vise par le ministere de la sante | Attest .exo. droits-taxes sauf r.f.d (sonatrach);Declaration d importation du produit | Autorisation d admission du produit;conformepro.dz
15;72;72.13;7213100000;Fil machine en fer ou aciers non alliés, comportant des indentations ou reliefs;Fonte, fer et acier. > Fil machine en fer ou en aciers non allies. > Fil machine en fer ou aciers non alliés, comportant des indentations ou reliefs;15.0;19.0;3.0;2.0;;Certificat d'origine dans le cadre -zale- exo d.d | Attestation d affectation(la loi des hydrocarbures) | Attestation d affectation(la loi des hydrocarbures);;conformepro.dz
16;84;84.29;8429110000;Bouteurs (bulldozers) et bouteurs biais (angledozers) > A chenilles;Reacteurs nucleaires, chaudieres, machines, appareils et engins mecaniques, parties de ces machines ou appareils. > Bouteurs (bulldozers), bouteurs biais (angledozers), niveleuses, decapeuses (scrapers), pelles mecaniques, excavateurs, chargeuses et chargeuses-pelleteuses, compacteuses et rouleaux compresseurs, autopropulses. > Bouteurs (bulldozers) et bouteurs biais (angledozers) > A chenilles;5.0;19.0;3.0;2.0;;Attest .exo. droits-taxes sauf r.f.d (sonatrach) | Certificat d'origine dans le cadre -zale- exo d.d | Attestation d affectation(la loi des hydrocarbures) | Exoneration d.d et d.a.p dans cadre convention algero-jordanienne | Titre de prospection ou d'exploration miniere | Certificat d'origine dans le cadre algero-tunisie exo. d.d | Attest .exo. droits-taxes sauf r.f.d (sonatrach) | Attestation d affectation(la loi des hydrocarbures) | Exoneration dd dans le cadre de la loi miniere.;;conformepro.dz
17;87;87.03;8703219990;Autres vehicules, uniquement a moteur a piston a allumage par etincelles > D'une cylindree n'excedant pas 1.000 cm3 > Autres > Autres > Autres;"Voitures automobiles, tracteurs, cycles et autres vehicules terrestres, leurs parties et accessoires. > Voitures de tourisme et autres véhicules automobiles principalement conçus pour le transport des personnes (autres que ceux du n 87.02), y compris les voitures du type ""break"" et les voitures de course. > Autres vehicules, uniquement a moteur a piston a allumage par etincelles > D'une cylindree n'excedant pas 1.000 cm3 > Autres > Autres > Autres";15.0;19.0;3.0;2.0;;Attestation d affectation(la loi des hydrocarbures) | Certificat d'origine dans le cadre -zale- exo d.d | Attestation d'emploi (pour exo. du d.d) | Attestation d affectation(la loi des hydrocarbures);;conformepro.dz
